#,Invoice Number,Transaction Date,Amount,Fees1,Fees2,Net Total,Card Number,Status
1,2696111,16-04-2025,"3,900.00",-0.8,-21.3,"3,877.90",555555****1111,Success
2,2696112,16-04-2025,520.00,-0.8,-11.76,507.44,555555****1111,Failed
3,2696113,16-04-2025,"40,038.00",-0.75,-4.45,"40,032.80",555555****1111,Success
4,2696114,16-04-2025,"3,008.00",-0.8,-3.6,"3,003.60",555555****1111,Success
5,2696115,16-04-2025,520.00,-0.8,-5.45,513.75,555555****1111,Success
6,99999,16-04-2025,"1,230.00",-0.8,-21.3,"1,207.90",555555****1111,Failed
7,22025,16-04-2025,"2,350.00",-0.8,-11.76,"2,337.44",555555****1111,Failed
8,12479,16-04-2025,"1,040.00",-0.75,-10.11,"1,029.14",555555****1111,Success
9,1111,16-04-2025,"1,560.00",-0.75,-17,"1,542.25",555555****1111,Success
10,47552,16-04-2025,"3,900.00",-0.8,-5.58,"3,893.62",555555****1111,Failed
11,7841483,16-04-2025,520.00,-0.75,-10.4,508.85,555555****1111,Success
12,7782247,16-04-2025,"40,038.00",-0.75,-8.53,"40,028.72",555555****1111,Success
13,2696123,16-04-2025,"3,008.00",-0.75,-8.53,"2,998.72",555555****1111,Success
14,2696124,16-04-2025,520.00,-0.8,-3.68,515.52,555555****1111,Success
15,2696125,16-04-2025,"1,175.00",-0.75,-53.8,"1,120.45",555555****1111,Success
16,2696126,16-04-2025,"1,230.00",-0.75,-10.11,"1,219.14",555555****1111,Failed
17,2696127,16-04-2025,"2,350.00",-0.75,-17,"2,332.25",555555****1111,Success
18,2696116,16-04-2025,"1,040.00",-0.8,-5.58,"1,033.62",555555****1111,Success
19,2696117,16-04-2025,"1,560.00",-0.75,-10.4,"1,548.85",555555****1111,Success
20,2696118,16-04-2025,315.00,-0.75,-7.8,306.45,555555****1111,Success
21,2696119,16-04-2025,"1,230.00",-0.75,-8.53,"1,220.72",555555****1111,Success
22,2696120,16-04-2025,"1,040.00",-0.8,-11.75,"1,027.45",555555****1111,Success
23,2696121,16-04-2025,"1,570.00",-0.75,-7.35,"1,561.90",555555****1111,Success
24,2696122,16-04-2025,"3,008.00",-0.75,-4.45,"3,002.80",555555****1111,Success
